Timestamp,Component,Data
0.22927951633442195,temperature,81.5491798331408
0.22927951633442195,CoolantValve,CLOSE
0.47284683118319587,pressure,96.07202485633842
0.47284683118319587,pressure,control: 0.473s
0.47284683118319587,DEADLINE_MISS,Pressure control: 0.473s
0.47284683118319587,DEADLINE_MISS,Emergency response: 0.473s
0.9099089352018535,flow_rate,0.8437103533280692
1.2628174710186908,temperature,83.71234156043244
1.2628174710186908,CoolantValve,CLOSE
1.7486999677695194,pressure,104.97482317513467
1.7486999677695194,EMERGENCY_SHUTDOWN,Activated
1.7486999677695194,pressure,control: 0.739s
1.7486999677695194,DEADLINE_MISS,Pressure control: 0.739s
1.7486999677695194,DEADLINE_MISS,Emergency response: 0.739s
2.0440588219325138,flow_rate,0.9200037490539067
2.574364379257289,temperature,83.95258248642935
2.574364379257289,CoolantValve,CLOSE
2.7610847257426068,pressure,98.25399936303941
2.7610847257426068,pressure,control: 0.617s
2.7610847257426068,DEADLINE_MISS,Pressure control: 0.617s
2.7610847257426068,DEADLINE_MISS,Emergency response: 0.617s
3.234183313679511,flow_rate,1.0335476888796193
3.4571609783980954,temperature,75.81082918500982
3.4571609783980954,CoolantValve,OPEN
3.796068485716361,pressure,96.97468501961936
3.796068485716361,pressure,control: 0.462s
3.796068485716361,DEADLINE_MISS,Pressure control: 0.462s
3.796068485716361,DEADLINE_MISS,Emergency response: 0.462s
4.17987592189985,flow_rate,0.9555746225176538
4.730068132643939,temperature,78.50154047674057
4.730068132643939,CoolantValve,OPEN
5.195508942621262,pressure,102.85683715723641
5.195508942621262,EMERGENCY_SHUTDOWN,Activated
5.195508942621262,pressure,control: 0.916s
5.195508942621262,DEADLINE_MISS,Pressure control: 0.916s
5.195508942621262,DEADLINE_MISS,Emergency response: 0.916s
5.319616995325608,flow_rate,1.0451199774498232
5.728727175872115,temperature,78.66877957503698
5.728727175872115,CoolantValve,OPEN
6.21904566366845,pressure,96.2285932763192
6.21904566366845,pressure,control: 0.799s
6.21904566366845,DEADLINE_MISS,Pressure control: 0.799s
6.21904566366845,DEADLINE_MISS,Emergency response: 0.799s
6.450263179057337,flow_rate,0.8385522249979244
6.789116291909693,temperature,81.11243236957323
6.789116291909693,CoolantValve,CLOSE
7.079281656678199,pressure,95.47827148725658
7.079281656678199,pressure,control: 0.529s
7.079281656678199,DEADLINE_MISS,Pressure control: 0.529s
7.079281656678199,DEADLINE_MISS,Emergency response: 0.529s
7.5294228629520035,flow_rate,1.0169033951455355
8.069311882201065,temperature,77.12386759322979
8.069311882201065,CoolantValve,OPEN
8.330699544589462,pressure,101.28344846801022
8.330699544589462,EMERGENCY_SHUTDOWN,Activated
8.330699544589462,pressure,control: 0.701s
8.330699544589462,DEADLINE_MISS,Pressure control: 0.701s
8.330699544589462,DEADLINE_MISS,Emergency response: 0.701s
8.726193922823873,flow_rate,1.163877501346947
9.035518623145482,temperature,79.7960440857638
9.035518623145482,CoolantValve,OPEN
9.38632184928448,pressure,102.89347490986752
9.38632184928448,EMERGENCY_SHUTDOWN,Activated
9.38632184928448,pressure,control: 0.560s
9.38632184928448,DEADLINE_MISS,Pressure control: 0.560s
9.38632184928448,DEADLINE_MISS,Emergency response: 0.560s
9.827935530732832,flow_rate,1.0027444194906159
10.409164787501169,temperature,81.1864881447631
10.409164787501169,CoolantValve,CLOSE
10.779760968882709,pressure,96.07652013122403
10.779760968882709,pressure,control: 0.852s
10.779760968882709,DEADLINE_MISS,Pressure control: 0.852s
10.779760968882709,DEADLINE_MISS,Emergency response: 0.852s
10.90709231825065,flow_rate,1.0912203413721369
11.268267698636663,temperature,78.48223662218975
11.268267698636663,CoolantValve,OPEN
11.674903846087405,pressure,95.85808796001177
11.674903846087405,pressure,control: 0.668s
11.674903846087405,DEADLINE_MISS,Pressure control: 0.668s
11.674903846087405,DEADLINE_MISS,Emergency response: 0.668s
11.862451795790333,flow_rate,0.9947610425740844
12.369252472572741,temperature,79.4357386846162
12.369252472572741,CoolantValve,OPEN
12.742499344380475,pressure,95.60897957307672
12.742499344380475,pressure,control: 0.780s
12.742499344380475,DEADLINE_MISS,Pressure control: 0.780s
12.742499344380475,DEADLINE_MISS,Emergency response: 0.780s
12.942871117671752,flow_rate,1.104106717148131
13.277588304466367,temperature,81.68647608946392
13.277588304466367,CoolantValve,CLOSE
13.596928034476353,pressure,96.59427103696368
13.596928034476353,pressure,control: 0.554s
13.596928034476353,DEADLINE_MISS,Pressure control: 0.554s
13.596928034476353,DEADLINE_MISS,Emergency response: 0.554s
13.954680702053007,flow_rate,0.892824929103715
14.435067322025485,temperature,84.62533770776524
14.435067322025485,CoolantValve,CLOSE
14.571897443086641,pressure,95.0071183012278
14.571897443086641,pressure,control: 0.517s
14.571897443086641,DEADLINE_MISS,Pressure control: 0.517s
14.571897443086641,DEADLINE_MISS,Emergency response: 0.517s
14.977051413187803,flow_rate,1.1091853998000312
15.521089738165674,temperature,77.86752844049283
15.521089738165674,CoolantValve,OPEN
15.695269955285136,pressure,101.97807120747895
15.695269955285136,EMERGENCY_SHUTDOWN,Activated
15.695269955285136,pressure,control: 0.618s
15.695269955285136,DEADLINE_MISS,Pressure control: 0.618s
15.695269955285136,DEADLINE_MISS,Emergency response: 0.618s
16.092997758106588,flow_rate,1.1428574013686204
16.64996342990148,temperature,81.11047370213778
16.64996342990148,CoolantValve,CLOSE
16.798309930735808,pressure,96.24738913560972
16.798309930735808,pressure,control: 0.605s
16.798309930735808,DEADLINE_MISS,Pressure control: 0.605s
