Timestamp,Component,Data
0.2625312289542656,temperature,75.94055615957578
0.2625312289542656,CoolantValve,OPEN
0.6447416354370522,pressure,96.80323919369377
0.6447416354370522,pressure,control: 0.645s
0.6447416354370522,DEADLINE_MISS,Pressure control: 0.645s
0.6447416354370522,DEADLINE_MISS,Emergency response: 0.645s
0.9523680448050501,flow_rate,1.002123174885905
1.3155649853054119,temperature,82.9019079923472
1.3155649853054119,CoolantValve,CLOSE
1.5771843882691812,pressure,101.34732230053649
1.5771843882691812,EMERGENCY_SHUTDOWN,Activated
1.5771843882691812,pressure,control: 0.525s
1.5771843882691812,DEADLINE_MISS,Pressure control: 0.525s
1.5771843882691812,DEADLINE_MISS,Emergency response: 0.525s
1.6891357227400412,flow_rate,1.0321593543456395
2.0694872794686114,temperature,83.9733758935804
2.0694872794686114,CoolantValve,CLOSE
2.240626547329491,pressure,100.92236059189776
2.240626547329491,EMERGENCY_SHUTDOWN,Activated
2.240626547329491,pressure,control: 0.451s
2.240626547329491,DEADLINE_MISS,Pressure control: 0.451s
2.240626547329491,DEADLINE_MISS,Emergency response: 0.451s
2.616142585438652,flow_rate,1.0486829689975017
2.901892562998769,temperature,83.4018805772386
2.901892562998769,CoolantValve,CLOSE
3.2111483307499458,pressure,96.24108975942114
3.2111483307499458,pressure,control: 0.495s
3.2111483307499458,DEADLINE_MISS,Pressure control: 0.495s
3.2111483307499458,DEADLINE_MISS,Emergency response: 0.495s
3.5306015736551255,flow_rate,1.0546445549189543
3.9987379848840647,temperature,80.09755573235269
3.9987379848840647,CoolantValve,CLOSE
4.380798851705807,pressure,104.90793895985183
4.380798851705807,EMERGENCY_SHUTDOWN,Activated
4.380798851705807,pressure,control: 0.750s
4.380798851705807,DEADLINE_MISS,Pressure control: 0.750s
4.380798851705807,DEADLINE_MISS,Emergency response: 0.750s
4.65704204303457,flow_rate,1.1530950476359354
5.055242919740216,temperature,75.50203651050522
5.055242919740216,CoolantValve,OPEN
5.548266729386784,pressure,95.74644947744827
5.548266729386784,pressure,control: 0.791s
5.548266729386784,DEADLINE_MISS,Pressure control: 0.791s
5.548266729386784,DEADLINE_MISS,Emergency response: 0.791s
5.676684772044679,flow_rate,1.077212347234704
5.9364967628241585,temperature,81.85958779482064
5.9364967628241585,CoolantValve,CLOSE
6.133318548439721,pressure,97.35658448141973
6.133318548439721,pressure,control: 0.357s
6.133318548439721,DEADLINE_MISS,Pressure control: 0.357s
6.133318548439721,DEADLINE_MISS,Emergency response: 0.357s
6.243673056969076,flow_rate,0.9918161860418031
6.521719227832761,temperature,78.82115168139997
6.521719227832761,CoolantValve,OPEN
6.86774246577853,pressure,96.76439923158739
6.86774246577853,pressure,control: 0.524s
6.86774246577853,DEADLINE_MISS,Pressure control: 0.524s
6.86774246577853,DEADLINE_MISS,Emergency response: 0.524s
7.000301204099642,flow_rate,0.8603546517403761
7.417760625247247,temperature,84.79606869241827
7.417760625247247,CoolantValve,CLOSE
7.609856621137081,pressure,99.90538536926452
7.609856621137081,pressure,control: 0.510s
7.609856621137081,DEADLINE_MISS,Pressure control: 0.510s
7.609856621137081,DEADLINE_MISS,Emergency response: 0.510s
8.049007979290776,flow_rate,1.1961357988951913
8.57805145195532,temperature,80.05086645300244
8.57805145195532,CoolantValve,CLOSE
8.838670955606933,pressure,101.2740010177187
8.838670955606933,EMERGENCY_SHUTDOWN,Activated
8.838670955606933,pressure,control: 0.690s
8.838670955606933,DEADLINE_MISS,Pressure control: 0.690s
8.838670955606933,DEADLINE_MISS,Emergency response: 0.690s
9.257126123950389,flow_rate,0.8887794861432778
9.843940727962398,temperature,79.56024540632396
9.843940727962398,CoolantValve,CLOSE
10.278772830813404,pressure,104.81889237055977
10.278772830813404,EMERGENCY_SHUTDOWN,Activated
10.278772830813404,pressure,control: 0.922s
10.278772830813404,DEADLINE_MISS,Pressure control: 0.922s
10.278772830813404,DEADLINE_MISS,Emergency response: 0.922s
10.617908229405835,flow_rate,0.9009563313164494
11.085412426489633,temperature,84.13448038957429
11.085412426489633,CoolantValve,CLOSE
11.534531654094483,pressure,98.47037152931588
11.534531654094483,pressure,control: 0.817s
11.534531654094483,DEADLINE_MISS,Pressure control: 0.817s
11.534531654094483,DEADLINE_MISS,Emergency response: 0.817s
11.645512561430683,flow_rate,1.1239819888493994
12.061126282800332,temperature,84.48259243109732
12.061126282800332,CoolantValve,CLOSE
12.390454816688557,pressure,101.18462417050435
12.390454816688557,EMERGENCY_SHUTDOWN,Activated
12.390454816688557,pressure,control: 0.645s
12.390454816688557,DEADLINE_MISS,Pressure control: 0.645s
12.390454816688557,DEADLINE_MISS,Emergency response: 0.645s
12.390454816688557,flow_rate_error,Packet lost
12.986323194108774,temperature,75.04720206561922
12.986323194108774,CoolantValve,OPEN
13.233052668715548,pressure,95.36218540525823
13.233052668715548,pressure,control: 0.743s
13.233052668715548,DEADLINE_MISS,Pressure control: 0.743s
13.233052668715548,DEADLINE_MISS,Emergency response: 0.743s
13.444963904635761,flow_rate,1.061446066299281
13.544963904635761,temperature_error,Packet lost
14.032390709432143,pressure,99.44375240391578
14.032390709432143,pressure,control: 0.487s
14.032390709432143,DEADLINE_MISS,Pressure control: 0.487s
14.032390709432143,DEADLINE_MISS,Emergency response: 0.487s
14.317694286782029,flow_rate,0.8628253513803684
14.608614548026274,temperature,83.32298931753309
14.608614548026274,CoolantValve,CLOSE
15.026806152676599,pressure,103.22310546740256
15.026806152676599,EMERGENCY_SHUTDOWN,Activated
15.026806152676599,pressure,control: 0.609s
